id,tbv
1,-0.823470942
2,-1.557677788
3,0.760870148
4,-0.205191492
5,0.451730423
6,-0.359761355
7,1.224579735
8,-0.011979164
9,0.026663301
10,0.490372888
11,0.413087957
12,-0.591616148
13,-0.746186011
14,0.181233164
15,-0.205191492
16,0.065305767
17,-0.784828476
18,-0.359761355
19,0.219875629
20,0.722227682
21,0.374445492
22,-0.784828476
23,0.606300285
24,-0.127906561
25,1.340507131
26,0.219875629
27,0.065305767
28,-0.823470942
29,-1.171253132
30,0.529015354
31,0.683585216
32,0.529015354
33,-1.36446546
34,-0.746186011
35,0.760870148
36,0.065305767
37,-0.166549027
38,-0.707543545
39,-0.39840382
40,-1.171253132
41,1.533719459
42,0.992724941
43,-0.359761355
44,-0.630258614
45,0.374445492
46,0.29716056
47,-1.325822994
48,-0.552973683
49,-0.437046286
50,1.340507131
51,0.760870148
52,-0.359761355
53,0.181233164
54,0.954082475
55,0.529015354
56,0.065305767
57,-0.166549027
58,-0.011979164
59,0.91544001
60,-1.209895598
61,-0.939398339
62,0.722227682
63,-0.39840382
64,-0.282476423
65,-0.359761355
66,0.142590698
67,0.181233164
68,0.065305767
69,-0.784828476
70,-0.127906561
71,-0.978040804
72,0.103948232
73,0.258518095
74,-0.939398339
75,-0.243833958
76,-0.205191492
77,-0.359761355
78,1.456434528
79,0.142590698
80,-0.243833958
81,0.026663301
82,-0.089264096
83,-0.166549027
84,0.760870148
85,-1.132610667
86,-0.823470942
87,-0.475688751
88,0.56765782
89,1.070009872
90,1.572361925
91,0.954082475
92,0.954082475
93,0.451730423
94,0.838155079
95,-0.205191492
96,0.335803026
97,-0.05062163
98,0.181233164
99,-0.978040804
100,-0.514331217
