"jid","tbv"
1,-0.802140300778842
2,-1.53634714704525
3,0.78220078853287
4,-0.183860851291344
5,0.473061063789122
6,-0.338430713663219
7,1.24591037564849
8,0.00935147667349826
9,0.0479939422664666
10,0.51170352938209
11,0.434418598196153
12,-0.570285507221031
13,-0.724855369592905
14,0.202563804638341
15,-0.183860851291345
16,0.0866364078594355
17,-0.763497835185874
18,-0.338430713663219
19,0.24120627023131
20,0.743558322939902
21,0.395776132603184
22,-0.763497835185874
23,0.627630926160996
24,-0.106575920105407
25,1.3618377724274
26,0.24120627023131
27,0.0866364078594356
28,-0.802140300778842
29,-1.14992249111556
30,0.550345994975059
31,0.704915857346933
32,0.550345994975059
33,-1.3431348190804
34,-0.724855369592905
35,0.782200788532871
36,0.0866364078594356
37,-0.145218385698376
38,-0.686212903999936
39,-0.377073179256188
40,-1.14992249111556
41,1.55505010039224
42,1.01405558209068
43,-0.338430713663219
44,-0.608927972813999
45,0.395776132603184
46,0.318491201417247
47,-1.30449235348743
48,-0.531643041628062
49,-0.415715644849156
50,1.3618377724274
51,0.782200788532871
52,-0.338430713663219
53,0.202563804638342
54,0.975413116497713
55,0.550345994975059
56,0.0866364078594357
57,-0.145218385698376
58,0.00935147667349819
59,0.936770650904745
60,-1.18856495670853
61,-0.918067697557748
62,0.743558322939902
63,-0.377073179256188
64,-0.261145782477282
65,-0.338430713663219
66,0.163921339045373
67,0.202563804638341
68,0.0866364078594355
69,-0.763497835185874
70,-0.106575920105408
71,-0.956710163150717
72,0.125278873452404
73,0.279848735824279
74,-0.918067697557747
75,-0.222503316884313
76,-0.183860851291345
77,-0.338430713663219
78,1.47776516920631
79,0.163921339045373
80,-0.222503316884313
81,0.0479939422664671
82,-0.0679334545124389
83,-0.145218385698376
84,0.78220078853287
85,-1.11128002552259
86,-0.802140300778843
87,-0.454358110442125
88,0.588988460568027
89,1.09134051327662
90,1.59369256598521
91,0.975413116497713
92,0.975413116497713
93,0.473061063789122
94,0.859485719718807
95,-0.183860851291345
96,0.357133667010216
97,-0.0292909889194701
98,0.202563804638341
99,-0.956710163150717
100,-0.493000576035093
101,-1.38177728467337
102,-0.338430713663219
103,1.01405558209068
104,-0.261145782477282
105,-0.377073179256187
106,0.202563804638342
107,0.588988460568027
108,-0.29978824807025
109,-0.377073179256188
110,-0.377073179256188
111,0.163921339045373
112,-0.106575920105407
113,0.473061063789121
114,0.163921339045373
115,-0.724855369592905
116,0.318491201417247
117,-0.608927972813999
118,-0.183860851291345
